country_id ,country_name,notice_period,healthcare,other_benefits,employer_id,employer_name,employer_website,description,funding_stage,scale_up_xp,smb_customers,b2c_customers,last_funding_amount,industry,team_size,eng_team_size,tech_chalenges,employer_backend_stack,employer_frontend_stack ,tools_text ,architecture,dev_ops,,,company,current_employer?,experience_employer_id,experience_user_id,user_id,linkedin_profile,first_name,last_name,Type,seniority ,job,user_country_id,email,password,city,total_years_xp,next_jobs,english_fluent?,user_backend_stack 🚧,user_frontend_stack 🚧,years_xp_per_stack ,expected_wage,area_median_wage,full_remote_only,university,timezone,employed_more_one_year,current_job_tenure (years),empl. start_year,user_customer_id,tech_recruiter?,customer_id,customer_name,req_customer_id,req_id,req_title,,,,,,,,,,,email_template 
1,Chile ,2 weeks,Healthcare: Private healthcare plans range from $70-$250 USD per month,PTO: 15 days of paid leave,1,AgendaPro,http://www.agendapro.com,"AgendaPro (YC W21) allows business owners to charge their customers online and easily schedule appointments. The all-in-one platform allow our customers to manage online appointments, but also helps them with their cash management, inventory management , marketing campaigns, loyalty programs, and CRM. Similar companies include Skello (🇫🇷) or HoneyBook (🇺🇸)",Seed,,true,,,Saas ,51-100,20+,,Ruby on Rails ,React.js,"API (Payu, QVO)",AWS ,,,,AgendaPro,true,1,1,1,https://www.linkedin.com/in/rodrigo-monsalve-lagos-26372a112/ ,Rodrigo,Monsalve Lagos,,Senior,,1,1@gmail.com,1@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,true,,,,,1,Brex,1,1,Software engineer,,,,,,,,,,,@gmail.com
2,Argentina,,,,2,Airnguru,https://www.airnguru.com,"Airnguru provides a new generation of Fare Management technology, a Saas for airlines pricing intelligence and price execution. ",Seed,,,,$700 000,Saas,11-50,10+,,,Angular ,API,,,,,AgendaPro,true,1,2,2,https://www.linkedin.com/in/rcerqueira11,Ricardo,Cerqueira,Full Stack,Senior,Full Stack Developer,1,2@gmail.com,2@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,3,Beetrack,http://www.beetrack.com,Beetrack is a real-time management software for your fleet and packages.,Seed,,,,$100 000,Saas,51-100,25+,,"Ruby on rails, Golang ",React.js,,"AWS, Opsworks, Chef",,,,AgendaPro,true,1,3,3,https://www.linkedin.com/in/jos%C3%A9-liscano-ba43b0127,José,Liscano,,Mid-Senior ,Developer ,1,3@gmail.com,3@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,4,Betterfly ,https://betterfly.cl,Betterfly is a purpose-driven benefits platform that rewards healthy habits with charitable donations and no-cost life insurance coverage. Similar companies include Swile (🇫🇷) or Cherry (🇺🇸).,Series B,true,true,,$60 000 000,Fintech,101-250,30+,,Django React.js,React.js (with Redux),"Webpack, Enzyme, WebSockets","AWS, Serverless Framework","Docker, Power BI, Confluence, JIRA, Scrum ",,,AgendaPro,true,1,4,4,https://www.linkedin.com/in/carlos-izquierdo-herrera,Carlos,Izquierdo,,Senior,Senior Software Engineer,1,4@gmail.com,4@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,5,Buk ,http://buk.cl,"Buk is a cloud-based human resource management software system that unifies a wide range of HR functionality into a single system. The software provides benefits, talent management, payroll, time tracking, recruiting among other solutions.",Series A,true,true,,$50 000 000,Saas,251-500,90+,,Ruby on rails,"Vue.js, JQuery",,"AWS, PostgreSQL",Sentry for errors / DelajedJob for async jobs,,,AgendaPro,true,1,5,5,https://www.linkedin.com/in/pablomarambio,Pablo,Marambio Cathalifaud,,Senior ,VP Engineering ,1,5@gmail.com,5@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,6,Chattigo ,https://www.chattigo.com,Chattigo is the platform to manage all the chats of your company in one place.,Series A,true,,,$2 000 000 ,Saas,51-100,15+,,"NodeJS(Nest.js), JavaRx(Spring), Go  ","Angular, Typescript",,"AWS, MySQL, MongoDB",,,,AgendaPro,true,1,6,6,https://www.linkedin.com/in/avilajose,Jose,Avila,Frontend,Senior,Frontend engineer ,1,6@gmail.com,6@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,7,ComparaOnline,https://www.comparaonline.com,ComparaOnline is a price comparison site for financial and insurance services in Latin America. Similar companies include PolicyGenius (🇺🇸) or NerdWallet (🇺🇸).,Series C,true ,,true,$14 000 000,Insurtech,251-500,30+,,"Node.js, Ruby on rails","React.js, Typescript",,"AWS, MySQL, PostgreSQL ","Docker, Datadog, New Relic, Kubernetes ",,,AgendaPro,true,1,7,7,https://www.linkedin.com/in/marco-antonio-arias-figueroa-6b969155,Marco,Antonio Arias Figueroa,Backend,Senior,Backend engineer ,1,7@gmail.com,7@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,8,Fintual,https://fintual.cl,"Fintual is an asset management startup that manages the investments of young professionals who want to invest well. It's a Y combinator startup. Similar companies include Robinhood (🇺🇸), Trade Republic (🇪🇺) or Finary (🇫🇷).",Series A,true ,false,true,$39 000 000,Fintech,51-100,30+,,Ruby on Rails,"Vue.js, Typescript",GraphQL,AWS y/o GCP.,,,,AgendaPro,true,1,8,8,https://www.linkedin.com/in/nayhib-padron-b13545a8,Nayhib,Padron,Backend,Senior,Developer Ruby on Rails,1,8@gmail.com,8@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,9,Global 66,http://www.globant.com,Global 66 is an international online payment platform. Similar companies include Wise (🇬🇧) or Payoneer.,Series A,true ,,true,$12 000 000,Fintech,51-100,25+,,Java,Vue.js,Springboot (Java),"AWS, MySQL, ECS Fargate","Jest (testing), Apache Maven, Scrum ",,,AgendaPro,true,1,9,9,https://www.linkedin.com/in/eric-labra-9865a210a,Eric,Labra,Backend,Mid-Senior ,Back-end developer,1,9@gmail.com,9@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,10,Justo,https://www.getjusto.com,Justo helps restaurants in Latin America to take online orders directly from their customers and increase their margins.,Seed,,,,$2 300 000,"Ecommerce, On-Demand",51-100,30+,,Node.js,React.js,,"MongoDB, AWS, DynamoDB, GraphQL",,,,Airnguru,true,2,10,10,https://www.linkedin.com/in/cmoltedos,César,Moltedo,,Senior,Head of Engineering ,1,10@gmail.com,10@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
